,test means,test std devs,control means,control std devs,p values,dfs
3,0.5853518363573093,0.567083582760714,0.8130882792775539,0.3837974998365497,1.13191922104115e-05,314.5429758408271
4,0.8918812806684024,0.1370869825907487,0.9178510422075747,0.11900937064056531,0.055760300480730496,351.0719005053802
5,0.9276648748105744,0.07041292617121006,0.9372475106474685,0.07351064945158602,0.2074122809962539,357.3384558691916
6,0.9285025923343817,0.06280297892199758,0.9350307484893485,0.05609394492132471,0.2989978425550094,353.52597060209473
7,0.9256363365361586,0.07099205602920708,0.929828157311424,0.05470922170524893,0.5307696827745659,336.17508683503286
8,0.8902908798743716,0.11291055601407506,0.8994686975794254,0.07757487789143049,0.36941986024896956,317.19586592181446
9,0.8663245408845595,0.08807933612290345,0.8830828536890376,0.0700004342897533,0.046467256097980164,340.635802377122
10,0.8304883730140425,0.0870196689689529,0.8286156999166278,0.09740475475750232,0.8475732466161974,353.54408378501506
11,0.8128938866495466,0.08860277226221734,0.8226397135856123,0.08110958133906992,0.2771066472189284,355.24070712294673
12,0.7879586254041979,0.09511983934156766,0.7936106726517693,0.0940470705847351,0.5711388238082241,357.95395514420693
13,0.7612106430344135,0.09399705993529565,0.7636282045211525,0.09849088508593479,0.8118348520369989,357.2220525913457
14,0.7412787052788089,0.11968118672853828,0.7523835560321082,0.10950093330903447,0.35900689604239433,355.2075478518524
15,0.7471972062617583,0.09406409581935225,0.7519579505121715,0.0867749334211078,0.6180224438218457,355.6959084293689
16,0.7204121266221705,0.11194923491271484,0.7211559789933984,0.10803484607356773,0.9488888314822506,357.547452546121
17,0.6947839576157449,0.11522302629493118,0.7033539641638571,0.11564659642396365,0.48169660094494193,357.99517995257867
18,0.7028064303695036,0.10331434303869562,0.7033280391229841,0.09507203008366742,0.9602749752180086,355.5535210025021
19,0.6699877027754261,0.11505585041416701,0.6711411229699713,0.11736141923030496,0.9250377527688152,357.8591664727002
20,0.6620606679233846,0.11870658805792973,0.6578071220395262,0.11553630903105996,0.7306685867134359,357.7379838430563
