,test means,test std devs,control means,control std devs,p values,dfs
3,0.7040785738890581,0.476408001082477,0.8095319937190265,0.3908505108786134,0.007056913201450418,479.6843674243705
4,0.8841883984049012,0.17472109109939918,0.9034542616617574,0.21063251590630522,0.26621839194114755,481.55837914464223
5,0.927965794097094,0.08814940309204913,0.9330605584008907,0.0820708366031398,0.5039100885276369,495.4790841907964
6,0.9159393567081439,0.08181184327936748,0.9250736486643967,0.07072433914332113,0.18233672893718045,487.79893366886904
7,0.9104942275401986,0.08349587583527,0.9213068828572355,0.06570611999614455,0.1082677607216009,471.9114507773839
8,0.8955330589085512,0.07837275425767666,0.8996906025546911,0.07069335325089128,0.5336863800021149,492.79618274340606
9,0.8690666813819837,0.0873369135822162,0.8781585995703657,0.07325729668637301,0.20788279509866692,483.3645553466736
10,0.838535023014978,0.09250441676212301,0.8468296500237871,0.07515975604439211,0.27173433234495764,477.9706727852093
11,0.7947123395238218,0.09862070875301802,0.8055211915005355,0.09788949238307966,0.219308223270321,497.9724212316507
12,0.7768115356614137,0.09816776960668058,0.7707420693172948,0.11594169075521558,0.5278830369816804,484.8183807460768
13,0.7615622866217397,0.09691559934444217,0.7615572717630202,0.09897977240900223,0.9995435246374846,497.77897369327184
14,0.7547069674876815,0.09962771373311306,0.7524735986894645,0.09849584437556777,0.8010994500173887,497.93499830776074
15,0.7381440001692677,0.10147777419685776,0.7319846451869482,0.10333837151937467,0.5016307715384518,497.8356950101799
16,0.7302505768004101,0.10347104638867548,0.7256739887369575,0.11139265244228645,0.6343140093579025,495.31427592494435
17,0.7183360404351024,0.10167169267081312,0.7188415191898405,0.10788116612095612,0.9570251635043452,496.26007965700705
18,0.6965336809517904,0.10588164373947923,0.7052358538821561,0.11219651296320146,0.37287609695990376,496.33806531100987
19,0.6608499309265367,0.11962760219606156,0.6603887128978309,0.12405157909702644,0.9662640308141983,497.34473025115125
20,0.6504257168993961,0.12232088655056164,0.6444474165387086,0.1258945471356934,0.5904699450521791,497.587600097411
